,cleaned_tweet
376,Allowing the CEO of Boko Haram to run as  VP alongside an old drug dealer speaks volumes about   's administration and the   itself.   VoteWisely  OBIdientlyYusful  ObiDatti023   Southeast Obasanjo  IPOB Kherson Resign Dangote Aboki Fx
377,The man of the moment    ObiDatti023  obidientmovement  
378,You asked me for money I say e nor Dey nor means say i nor get the one I wan spend on myself  UEL  davido  wizkid  ObiDatti023
379,"To watch the meeting between Peter Obi/ Yusuf Datti Baba Ahmed with all Labour Party approved support groups, click on this link: 👇🏿👇🏿👇🏿  LivelyMarketNG  ObiDatti023  "
380,"  My Vote and that of my entire family, is for  ObiDatti023  "
381, EndBadGoveranceInNigeria  endsars  Obidatti023  
382,Use this link to donate with any credit or debit card 💳 and thanks 🙏🏾  PeterObi4President2023  PeterObiForPresident  PeterObi  ObiDatti023  Obidients  OBIdientlyYusful  Click here👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾 or DM for printer Naira Account       
383,"Hear what this guy-man said about  ,   and his crew.  They can't even address Nigerian community in America nawaoh.     PeterObi4President2023   ObiDatti023  "
384,"  Because he's the insecurity himself, but I will tell shettima one candid Truth he's going to fail. OBi is our next incoming President.  ObiDatti023"
385, EndBadGoveranceInNigeria  endsars  Obidatti023    
386,Energy 💪💯💯  ObiDatti023  
387,    will live to witness the good governance he fought for through all his life. ObiDatti023
388,Use this link to donate with any credit or debit card 💳 and thanks 🙏🏾  PeterObi4President2023  PeterObiForPresident  PeterObi  ObiDatti023  Obidients  OBIdientlyYusful  Click here👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾 or DM for printer Naira Account    
389,"All the  OBIdientlyYusful of Biafra agitators, we hail una o.  Imagine if there was no   !   ObiDatti023   would have finished us. 🙆  "
390,  I am very aware of this scheme. That's why I am campaigning for him.  ObiDatti023
391,We have retired them to  ObiDatti023 😂  
392,        Vote  ObiDatti023
393,"    Ascon Aluminum Smelting company you sold in  Akwa Ibom state, who's managing it?  Kai! &amp;   will still be campaigning for one that sabotaged his senatorial district. Vote for Peter Obi  ObiDatti023   Nigeriadecides2023"
394,Use this link to donate with any credit or debit card 💳 and thanks 🙏🏾  PeterObi4President2023  PeterObiForPresident  PeterObi  ObiDatti023  Obidients  OBIdientlyYusful  Click here👇🏾👇🏾👇🏾👇🏾👇🏾👇🏾 or DM for printer Naira Account      
395,"Gas: N250               N1000 Diesel: N155              N1000 Kerosine: N150         N1000 Flight: N18,000          N80,000  AFFLICTION SHALL NOT RISE AGAIN UPON A SECOND TIME 🙏🙏🙏 Let's be ObidientAndYusful  come Feb 2023   Davido  Arteta  Ak47  EFCC   ObiDatti023"
396,"  Both of you has failed this country woefully, infact right now you guys should be begging Nigerians for putting us through so much suffering and pain, you met $1 4how much, in 7 year's u up it to  950 infact APC is more worse than PDP. Please Nigerians vote wisely.  ObiDatti023"
397,"  should a matter of transparency and fairness publish the names of those invalid or double registration from SE, bcus I am loosing my trust on their ability to conduct free and fair election. Mr INEC pls allow God to use you.  ObiDatti023  "
398,"  Yorubas are not bastard are not going to vote for Atiku it's not the turn of the northerners, it's the turn of the south &amp; it's d turn of d South East,. so we Omo Odua will vote for  PeterObi .  ObiDatti023  PeterObi4President2023"
399,Delta State is for  ObiDatti023  ObiDatti2023  liberatedelta
400, VotePeterObiForPresident2023  ObiDatti023  
401,Taking The Message To The Grassroots Has Always Been One Of The Main Focus Of TBN. Join Us This Coming Saturday As We Engage In Community Sensitization.  Obidients  TakeBackNaija  ObiDatti023  
402,"For decades of bad leadership that has gotten to its peak today and threatening to continue in 2023, Nigerians flourish everywhere and in everything, aside in Nigeria. Let's take back our country at the polls in 2023. I believe in  ObiDatti023  Make Nigeria great again!"
403,We say no to this 😠😠😠😠😠   PeterObi4President2023   ObiDatti023  
404,"When God has shown you the light, don't walk in the darkness into self destruction.   Sooner than later, those who refused to call a spade a spade will end up shooting their feet with a gun.   PeterObi4President2023  ObiDatti023"
405,lies will always hunt the liar... nothing good can come out of   the man is i serial oppurtunist and a liar...   ObiDatti023    
406,"Lol.. When you spot a failure, a disaster in the making.    ObiDatti023   OBIdientlyYusful  "
407,Student politics don start....           byelection2022  confirmed  EndSARS  ObiDatti023  
408,   help me tell them those saying APC / PDP just very soon they will start begging in Twitter…. Vote wisely  ObiDatti023  is the best
409,"... calls that what happened?  Did they break any Law, this is not a good development    and this does not help our democracy.  We can do better     PeterObi4President2023   ObiDatti023   Resign Abike Dabiri  South East. Jandor  "
410,Do everything possible to vote out evil government of   so that a good and sensible government in   with  ObiDatti023 ticket can reform   and give it a good look.  
411,      plan was to advance poverty into southern Nigeria n the madman’s done that   plan is for terrorism all over southern Nigeria n voting   gives him that opportunity.  Say NO to BAT.   ObiDatti023
412,"In Nigeria,  they will tell her she is Igbo; tell her to go and stop IPOB, make oeace with Nigeria before they can make her the general.  God help us..  ObiDatti023  "
413, TBT  BAT2023  Tinubu  ObiDatti023  Obidients  
414,This is not a stolen fund...  ObiDatti023  
415,    Facts!   ObiDatti023
416,If you like vote Tinubu na you go suffer am …….. good morning  ObiDatti023
417,Throwback Thursday ❤️🇳🇬✅ The will of the people must prevail. No politician or political party is as powerful as the citizens. Power truly belongs to the people. We will take back our country in 2023 through Peter Obi!  ObiDatti023   — South East Abike Dabiri Pant Off Akindele  
418,Batch J 100/100                             Kindly dm your number and network  Cc:    ObiDatti023   Obidients
419,We in Akwa ibom state are obediently yusful   PeterObi4President2023   ObiDatti023   OBIdientlyYusful   obi  
420,  Repeated madness is doing what APC supporters do in the name of propaganda.  vawulence  VawulenceSpace  ObiDatti023
421,Vote  ObiDatti023  PeterObi    
422,   ObiDatti023
423,Usd now 768. Shame on currency speculators.  Tinubu  IfeanyiAdeleke  ObiDatti023
424,"Apart from retweeting what makes sense, what else do I even know? 🤔  ZOMBIE  TakeOff  ObiDatti023  "
425,                        Pls let me be in batch 100 I don't have enough mb 🙏🙏 pls am borrowing mb      Obidients   ObiDatti023
426,Batch I 90/100                               Kindly dm your number and network.  Cc:    ObiDatti023   OBIdientlyYusful
427,Power to the people! Let us do it. A new Nigeria is possible  Obidatti023  
428,    You’ve started a verbal war. Hope you won’t come here crying like an abandoned baby in the forest?      byelection2022  ObiDatti023
429,   Lovely song to be heard  donjazzy  udomemmanuel  pdpcampaignflagoff   pdp  ObiDatti023   Obidients   APC   APC
430,"Presidential candidate of the Labour Party, Peter Obi was on   . You can watch the full interview repeat today on startimes on channels 164   PeterObiForPresident  ObiDatti023  "
431,"To all the  OBIdients, let's make every Thursday of the week  OBIdient Thursday. On these days, we shall go to our offices and shops in our  OBIdient T-shirts &amp; caps. It will pass a strong message, especially to the undecided.  ObiDatti023"
432,"If you want Bokoharam to overrun Nigeria, just make mistake of voting and electing Tinubu, you will understand what it means to live in Bornu State.  Obidatti023 Vote Peter Obi."
433,Peter Obi National campus Tour is here. Check out your campus date and be ready  👉     ObiDatti023  ObiDatti2023  PeterObi4President2023  LabourParty  PeterObiForPresident2023  Obidients  2023Elections Teni 30BG Davido Ifeanyi Funke Akindele  Chioma phyna  
434,    Character and integrity is remaining open and sincere even when you are not aware the camera is rolling. Lesson: He is self made and not coming to government to steal or be served. Remember he forfeited his pensions and allowances worth 5billion to Anambra state.  ObiDatti023
435,Peter Obi National campus Tour is here. Check out your campus date and be ready.   👉     ObiDatti023  ObiDatti2023  PeterObi4President2023  LabourParty  PeterObiForPresident2023  Obidients  2023Elections Teni 30BG Davido Ifeanyi Funke Akindele Naira Marley  
436,Peter Obi National campus Tour is here. Check out your campus date👇 and be ready      ObiDatti023  ObiDatti2023  PeterObi4President2023  LabourParty  PeterObiForPresident2023  Obidients  2023Elections Teni 30BG Davido Ifeanyi Funke Akindele  
437, ObiDatti023  OBIdientlyYusful  
438,"Two Nigerian and eight(8) South Koreans. Sixteen Nigerians and one their country flag is not even there, let's assume she's from USA.  Vote wisely. Vote H.E    ObiDatti023  OBIdientlyYusful  Obidients  "
439,"I fine, I get Sense, I be  's Wife. What I'm I lacking? I lack nothing, I'm excited for a new Nigeria with my Husband PeterObi.    PeterObi4President2023  PeterObiForPresident  PeterObiForPresident2023  PeterObi  OBIDIENT  ObiDatti023  OBIdientlyYusful  ObiDatti2023  "
440,"  Any information on the citizenship status of Atiku in United Arab Emirates-Dubai? Is Atiku an Arab citizen? An Arab? The Naija constitution is clear, you cant be a citizen of another country &amp; become Nigerian President. Is Atiku a double citizen?  Tinubu   ObiDatti023"
441,"  Any information on the citizenship status of Atiku in United Arab Emirates-Dubai? Is Atiku an Arab citizen? Arab trying to rule Nigeria? The Naija constitution is clear, you cant be a citizen of another country &amp; become Nigerian Pres. Is Atiku a doubled citizen?  ObiDatti023"
442,"Powasis that mosquito tryansed on his way to shelter and jammed sheltox, Dele Giwa tryansed and could not decode d dy/dx of letter bomb and love letter that I not I but still remain I....  Decode and shine  250k in Lagos  ObiDatti023  OBIdientlyYusful"
443,"      If you add Kwankwaso's Kano in the mix and Atiku's dwindling fortunes in the SE, SW, and parts of the SS, you'll know that  Obidatti023 is REAL. What is important is for Obi to SEIZE the moment."
444,"Known Boko Haram founder   vice Presidential Candidate is supposed to have been sentenced to death by handing but no, he's coming back with   to completely destroy Nigeria. God forbid Bad thing.   Vote Wisely Vote  ObiDatti023  "
445,      Funny enough Nigeria use to live in peace irrespective of tribal diversity till Apc happened to us. Let affliction not rise again. Vote  ObiDatti023 and take back your country.
446,A new Nigeria is possible  Obidatti023  
447, ObiDatti023 Okowa wike
448,"A serious candidate is talking to the issues, mikanoites and agbadorians are still abusing and gaslighting other candidates because they lack issue based content. We are voting wisely come 2023.   ObiDatti023"
449,If Chimaroke never blocked you till now then you’re not ready to take back your country  ObiDatti023 Davido/250k in Lagos/ PANT OFF  
450,"  Everything in doses my dear. Makinde is wise, the first step is to dislodge from PDP, the second will be to clarify his support. He knows what he is doing.  Ps. Do you know who the legitimate leader of afenifere is? If you do then you know who Seyi is supporting 😁.  ObiDatti023"
451,Na for this same   Nigeria govt beg   for ventilator. Now you are gone for treatment in London.  ObiDatti023
452,"    Chief, during the  1MillionManMatch for the  Obidatti023 here in Aba I wasn't in town, but I saw people who I begged in 2019 elections to come out and vote - people who had no interest in politics, come out. These people are gingered to vote"
453,Apply what!!!!!!  ObiDatti023   PeterObi4President2023   grvforlagos  
454," Obidients,  OBIdientlyYusful,  ObiDatti023 and  Obident are not SYCOPHANTS but every sycophant will be evicted.   OBIdientlyYusful are d ones looking truly after d labor of our heroes past. We therefore ask God of our creation to gloriously direct out noble cause for  Nigeria"
455,"This leg you are bringing will not work We will gather at your gate, and you will later sha share 1k to us when you come out. 🙄  ObiDatti023  PeterObi4President2023  "
456,  Your Useless APC That Betrayed Over 200m Nigerians Is Not An Option Either.    ObiDatti023
457,Peter Obi is the one and only option in this election! He will be our president come 2023!  ObiDatti023  ObiDatti2023  PeterObi4President2023  
458,"Nigerians are going through a lot daily, especially in Lagos.  The same Lagos that is held to ransom in the hands of Tinubu and his boys  This 2023, no stupid voting   ObiDatti023 Anambra, Zenith, Funke Akindele  "
459,"[Message to the YOUTHS] “Either you vote for the young Nigerians to be relevant in the Nigerian political history, or you vote to be irrelevant.” -Goodluck Jonathan. Nigeria cannot continue to go backward!  ObiDatti023✅  — 250k in Lagos Funke Akindele Reuben Abati Davido Tinubu  "
460,"Naira is currently ₦850 to 1$  Vote Wisely, Vote    Vote      ObiDatti023  "
461,"No Halloween costume needed my people. Scary regime loading if you Vote APC.  Peter Obi is better, let's secure our future by voting Labour Party.   ObiDatti023  OBIdientlyYusful  "
462,Why Peter Obi is best candidate for Nigeria – Ortom     ObiDatti023  Obidients   PeterObi4President2023  PeterObiForPresident  PeterObiForPresident2023
463,  He will improve the life if Boko haram at the expense of you lives. WAKE UP COLLECT YOU PVC and VOTE  ObiDatti023  
464,Billboard with a difference 👏👏👏👏👏👏👏👏😊😊😊😊😊  ObiDatti023  OBIdientlyYusful  Obidients  
465,  is the people's choice. This is the turn of Nigeria people.  Obidients  ObiDatti023  PeterObi4President2023  
466,Its the way tinubu reads his manual 🤣🤣 at any opportunities  BAT2023  ObiDatti023  AtikuOkowa2023
467,Let any of the candidates come out and explain how they spend their security votes....and you still think anyone is better prepared than Peter Obi?  ObiDatti023  
468, ObiDatti023  
469,      That's the point! Different accounts by who? This is laughable though...  I want to believe clarifications have been given and we can easily move on. Thanks for the engagement   ObiDatti023
470, ObiDatti023  
471,"You can't tell me you want a better Nigeria and still want to vote for Tinubu and Atiku.  They are red flags.  For the sake of your future, vote  ObiDatti023 for a better Nigeria."
472,I PITY FOR NIGERIAN YOUTHS.  The year to get things right is upon us and many of us have sold our souls to tribal and religious sentiments.  Are you fighting for a better Nigeria or your own pocket?    30BG Anambra Wike Funke Akindele Tinubu  Obidients  PeterObi  ObiDatti023
473,I can’t even imagine what an average human is going through on a daily in this country 💔I refuse to support bad governance and  ObiDatti023 is my choice 💯 PeterObi4President2023  Peterobi2023  
474,  When I tell you that Peter Obi is for the people believe it... Peter Obi carries Nigerians along.... He talk to you one on one. This is how a LEADER should be.  ObiDatti023  PeterObi4President2023  
475,What do you choose? Ignorance or knowledge to help you make the right choice? Read and decide  PeterObi4President2023  ObiDatti023  
476,"Forget the spin, let the facts speak for themselves. See below the stark difference between   and     VoteWisely  PeterObi4President2023  ObiDatti023  OBIdientlyYusful  "
477,This is your Nigeria presently. This is the Nigeria that will be if   and   has their way. Send them packing. Choose differently.  VoteWisely  Obidients  PeterObi4President2023  ObiDatti023  
478,The difference is clear...  obidatticarrally  ObiDatti023  OBIdientlyYusful  Obidatti  OBIDIENT  Obidientmovement  PeterObiForPresident2023  
479,"2023, na so we dey see,am. I am OBIdientlyYusful.  OBIdientlyYusful  ObiDatti023  Obidients  AtikuOkowa2023  TinubuShettima2023  TrendingNow  viraltweets  FYP  mufasatundeednut  "
480,"If you’re tired of insecurity, Vote for Peter Obi  If you’re tired of unemployment, Vote for Peter Obi  If you’re tired of suffering, Vote for Peter Obi If you’re just tired, Vote for Peter Obi.  VotePeterObiForPresident2023   ObiDatti023  "
481,Can a Leopard ever change it's spot? It's impossible. It can only embolden it. You cannot afford the risk of electing a terrorist to become your vice President.  VoteWisely Vote  ObiDatti023   ORA  
482,"2023: AFENIFERE in disarray over Tinubu, Obi (INSIDE STORY+VIDEO)     ObiDatti023  TinubuShettima2023"
483,"Every  OBIDIENT should go back home, let us try to inform our parents on why they should vote   . We youths have the numbers already, let us compliment it with that of our parents.   Together, we can!   funkeakindele  ObiDatti023  LabourParty  ChampionsLeague  "
484,"  can’t u just tell yourself d truth for once? What good will   bring us? Fellow Nigerians, let’s vote 🗳   en masse come 2023  ObiDatti023  OBIdientlyYusful  "
485,BigKiz_shotit  NewProfilePic  follobackforfolloback   LoveIsBlind  confirmed   Labaristudios  arewa  kano  kaduna  ObiDatti023  OBIDIENT  
486,"H.E me Peter Obi, the next President of our dear country Nigeria, knows his onions about leadership and statistics.    ObiDatti023  الداخلية  getyourpvc"
487,APC is a party of crime syndicate.     Nigerians beware and be warned. APC is out to KILL STEAL AND DESTROY OUR FUTURE. Don't reward them with PRESIDENCY AGAIN.   confirmed  ObiDatti023  
488,2022 you still supporting Apc and Pdp ur shame dey shame me aswear  ObiDatti023  NairaMarley
489,"APC&amp;BAT should know they are not contesting 2023 elections against LP&amp;OBI, PDP&amp;AA, Kwankwaso. But Against 200million Nigerians that they have put in anguish ,Poverty and hunger. Let that sink deep.  ObiDatti023  EndSARS    "
490,"Dear Nigerians, agbado says he will not visit the SouthEast because he knows they will not vote for him. But Peter Obi is visiting all parts of Nigeria whether they are voting for him or not for the sole purpose of uniting Nigeria. Peter Obi is a good leader indeed.  ObiDatti023"
491,For all the people that lack understanding...Thank you Papa🙏🏽 We shall vote wisely!  ObiDatti023  OBIdientlyYusful  
492,"    Oponu, as your bubu with his great team now, we got 1) Animals thieves 2) $1 - 900 3) 9 MW of electricity for last 8years.   na Scam.  VoteThemAllOut2022  ObiDatti023  PeterObi4President2023  "
493,                        PDP 16 &amp; APC 7+ Years Of Evil Govt Is Enough For You To Think Wisely.  Remember This is how to VOTE WISELY for LP  Obidatti023 for a New better Nigeria.   ObidientKnight🤺  
494,"You, an ordinary street tout is supporting Tinubu abi? No wahala, but just know say if it's disrespectful to mention Funke  Akindele in his presence, he doesn't see you and your entire generation as humans.  South South INEC Young MA  30BG  BokoHaram Borno  ObiDatti023"
495,"The love for this man is so exceptional and unique, this wasn't a campaign ground o. He only met with the traditional rulers of Tiv and Idoma people but see the mammoth crowd cheering him. 2023 might be our last chance to get it right o!  ObiDatti023  "
496,Be Alert! The  Agbadoites  Jagabandits might be out to cause some chaos!   Be Firm.  Be Resolute.  Be  OBIdientlyYusful   Go Get Your PVC !    ObiDatti023  
497,"Dear Nigerians, agbado says he will not visit the SouthEast because he knows they will not vote for him. But Peter Obi is visiting all parts of Nigeria whether they are voting for him or not for the sole purpose of uniting Nigeria. Peter Obi is a good leader indeed.  ObiDatti023"
498, LabourParty   ObiDatti023   Obidients   OBIdientlyYusful   ObidattiInLafia   obidientlagosrally   PDPRecoveryPlan   pdpcampaignflagoff   pdp   atikuisourchoice2023   atiku   AtikuOkowa2023  The MiCA Bill Contains a Clear Warning for Crypto Influencers  
499,  I am waiting for the link .    ObiDatti023 I stand for
500,  please make this make sense...  ObiDatti023  
501,2023 election is between ordinary Nigerians VES rich business men and corrupt politicians. Ordinary Nigerians are running for President through   and we are winning through him.  collectyourpvc4obi  PeterObi4President2023  ObiDatti023
502,Picking our last batch today. Thanks   for your patronage.   Obident   ObiDatti023  
503,The real Unifier ✊🏾.  Obidients hope you are making plans to get your PVC and vote  Obidatti?  We must make Nigeria great again.  ObiDatti023  
504,PETER OBI is just the best Man to for this Job. Man is a walking MANIFESTO already.  Argue with your keypads!   ObiDatti023
505,So Tinubu has to lick his finger to flick a page of book ?😂😂   Imagine doing this at International conference... Disgusting ooo💔😅😅  ObiDatti023   PeterObi4President2023 ✊✊   Koulibaly  30BG  broja  
506,The people's president let's join hand together to make this a reality.  ObiDatti023  collectyourpvc4obi  PeterObi4President2023  
507,"  Una Dey whine is ni?,  and his useless team are not serious, ObiDatti023  OBIdientlyYusful   for president"
508,The people’s choice!    PeterObiForPresident2023  ObiDatti023  
509,We have been gang raped by this present govt. Must we allow them to continue in 2023? I say a big Hell no. No remorse for whatever they are putting us through.  Vote out APC Vote out PDP Welcome Peter obi for President in 2023   OBIdientlyYusful   ObiDatti023
510,Even though the LP have about 1234 members against 480 &amp; 385 of PDPAPC yet LP have about 30% women against the 10% of APCPDP.   will protect the women more because the Party identifies &amp; respects the role of women in the society.      ObiDatti023    
511,Collaboration of the two best and technology driven Peter Obi support groups. It is good to see that you want to own the space. Keep a date     ObiDatti023  
512,"Fighting for Those who cannot fight for themselves, giving a helping hand no matter the status and class, humanity remains an illusion to us all.   ObiDatti023  "
513,What is happening to our naira? Our currency is running to 1k ....God have mercy upon our country.  Buhari  byelection2022  Tinubu  Atiku  ObiDatti023  CBN  Nigeria
514,We gave Obi the smallest field in Lafia of one elementary school but still they could not fill it up.  - Gov. Sule   ObiDatti023  ABAT
515,"That was how Buhari contested severally, built political structure as alleged, ran from ANPP to CPC then to APC and when he finally became president, oh my God... He became absentee President. God forbid  BAT thing  OBIdientlyYusful  ObiDatti023  Ruben Abati EFCC Obaseki Aboki Fx  "
516,   Obidatti023  Save9ja2023  PeterObi4President2023  
517,"If you're tired of insecurity, vote for Peter Obi If you're tired of unemployment, vote for Peter Obi If you're tired of suffering, vote for Peter Obi If you're tired, just vote  ObiDatti023  Retweet this.  Trending: INEC, Pa Adebanjo, Chioma, Makinde, South South, Japa  "
518,  Reno wise up If you like vote nonsense 2023 I swear e go touch everybody  Save9ja2023  OBIDATTI023  PeterObi4President2023
519,  If you like vote nonsense 2023 I swear e go touch everybody  Save9ja2023  OBIDATTI023  PeterObi4President2023
520,  If you like vote nonsense 2023 I swear e go touch everybody  Save9ja2023  OBIDATTI023  PeterObi4President2023
521,Are there decent girls these days? Need to marry 1. Fake xx chromosomes everywhere.   Davido Reuben Abati INEC South South  BAT2023  ObiDatti023
522,   Save9ja2023  OBIDATTI023
523,"As a president....you are to lead the poor and rich, educated and illiterate, the sick and healthy, Muslim and Christians, all tribes but it’s clear TINUBU WILL BE A PRESIDENT TO SOME SELECTED CLASS OF PEOPLE. pls vote  ObiDatti023"
524,congratulations to our free game players  let's keep winning and singing   Obidatti023  bettingtips  cassipredict  football  Sports  prediction  bet  bettingexpert  BETTING  
525,congratulations to our free game players  let's keep winning and singing   Obidatti023  bettingtips  cassipredict  football  Sports  prediction  bet  bettingexpert  BETTING  
526,That is why  ObiDatti023 are the most qualified for the Job.  
527,Whatever health state you are currently Plant-based health is the only natural solution and most effective Today scientifically proven.  Go buy yourself fruits and veggies for food.  Eat them as your live depends on them.   ObiDatti023  Davido  abuja abujabusiness  
528,You'll heard them throwing all kinds of words on South West governors for dialoguing with bandits. Saint Peter Obi is also planning to dialogue with them. Is that the best solution?  ObiDatti023  Davido  ifeanyiisalive  MONEY  
529,This is exactly where PDP and APC failed Nigerians and deserve no one trust and vote for ever. God forbid BATIKU. ObiDatti023  
530,"𝗧𝗼𝗻𝘆 𝗘𝗹𝘂𝗺𝗲𝗹𝘂, Jim Ovia, Dangote, Otedola etc, are the elite that Tinubu care about not the common man like you and I. Use ur brain and vote for Peter Obi.  INEC Reuben Abati Fulanis Obaseki Seyi Seyi Makinde Iyin  PeterObi4President2023  ObiDatti023  "
531," ObiDatti023  ObiDatti2023  OBIDIENT  ObiDatti2023  good morning all members of this family, may God protect us all. please be safe out there"
532,"LMAO 😅  The way y'all have ridiculed Obi because he chose a modest lifestyle is baffling. Obi funded Umza Rice in Kano before he ventured into politics. Today, Umza is one of the largest rice factories in West Africa. Y'all don't know Obi walai   PeterisBetter  Obidatti023  "
533,"😑😑read comments here, you will find out that they just want their party to remain in power without acknowledging their failures. It's really a pity 😕.  We have to vote out this evil APC.  ObiDatti023   TakeBackNaija  "
534,See statistics......and the  OBIDIENT will be bragging to have the stronghold of  ...continue to bully everyone that does not support  .  ObiDatti023  ObiDatti2023  Obidatti    
535,  Can't you be serious about the future of your children for ones Mr.?  ObiDatti023 are the best
536,Online and offline don't be tired.  ObiDatti023  we move 🏃🏃🏃🏃🏃🏃🏃
537,"Ext. Debt: $9.7bn      $98.6bn Gas: N2,500               N9,500 Diesel: N155              N800 Kerosine: N150         N900 Flight: N18,000          N80,000  GOD FORBID.  *Is this the hope APC wants to renew come 2023? May this affliction never rise again. AMEN*  ObiDatti023"
538,LAGOS - LATEST UPDATE ON PVC!!!*  This is to officially inform the public that the INEC will be bringing out all the PVC within their coffers to the *RA* within the two hundred and forty five (245) wards in Lagos State for  people to collect their PVCs starting  ObiDatti023  PVC  
539, ObiDatti023           
540,"  Oh wow... How could Peter Obi do all these??? Well, as bad as he may appeal to you, he's still a 100x better than any one else in the race and Nigeria has chosen him... What else has he done? Update...   ObiDatti023"
541,Yes God has given us  ObiDatti023  OBIDIENT  
542,"No more in Nigeria would we have such. No more, he has brought Doom to our western region.  ObiDatti023  confirmed  OBIdientlyYusful  PeterObi4President2023  "
543,"Wake up, don’t rest, t’ll you collect your PVC and vote Peter Obi! Vote wisely ✌️ PeterObiforPresident  ObiDatti023  PeterObi4President2023"
544,If you're to make a judgement call  votewisely  getyourPVC  votepeterobi  Obidatti023  INEC  LabourParty  nigeria  
545,    obedient  2023Elections  ObiDatti023  OBIdientlyYusful  ObiDatti2023 in our quest for a new Nigeria please let's respect and recognize the wise Elderly to seek wisdom and knowledge of the Brave.  
546,  Don't worry your eyes go clear it now the battle btw the youth you have in ur home versus you. Because am very sure dt no sane youth ll vote bat all the vote is for  ObiDatti023 so you elderly men can vote ur bat. But guess what it's a ratio 4 to 1 &amp;U kno the answer OBI win
547,"You know and you campaign for Tinubu, you're a disaster in atiku's camp. Any way it's good for the  WinningTeam  ObiDatti023  OBIdientlyYusful Ruben Abati Aboki Fx EFCC Obaseki  "
548,"One is a very corrupt renowned drug dealer, the other is the founder/CEO of Boko Haram... This is who they really are not what their heards of souless slaves tell u.  BeCareful  VoteWisely  OBIdientlyYusful  ObiDatti023 EFCC Ruben Abati Aboki Fx  "
549,God forbid anoda sick president! Buhari will be beta than Amoda Ogunlere.   ObiDatti023  OurOnlyHope4Beta9ja  PeterObi4President2023  
550,        let us call the attention of everyone to this post by   he is trying to turn northerners against the southeast please 🙏 lets come together and silence this evil agenda &gt;&gt;&gt;&gt;&gt;  ObiDatti023
551,"  Sadly enough .You goofed ,The only reason you are shouting Tinubu is because he is a Yoruba man .not everybody will have a shallow mind like you .receive sense and help protect the future of your children .The peanut won’t survive them forever . ObiDatti023"
552, ObiDatti023  ObiDatti2023  OBIdientlyYusful  OBIDIENT  Obidients  ObiDatti2023  Please gather here to listen to how corrupt  Tinubu is   TinubuShettima2023  TINUBU4PRESIDENT2023  JimOvia  
553,"Then I get in my Uber to go home and the driver (Chike) asks if I'm ""Obi for OBIdient"".  And right there, is my brother and fellow child of  ! My night is made!🙏🏽 Obidatti023"
554,"Obi is a servant President that we can trust, he has the vision and the right ideas to fast track the repair of wrought in Nigeria. Be sure of corrupt free government with Obi, we can’t say the same with   and his “Elder” bro   .   ifeanyiisalive  ObiDatti023  "
555,  H.E. Peter Obi will take Nigeria where he needs to be. Y’all just need to trust him. Vote  PeterObiForPresident2023  ObiDatti023
556,"If you have been wondering how devil looks like, wonder no more just look at Kashim Shettima, that's devil in human form.  Obidatti023"
557,"It’s hard work, energy and love of one another brought you all this far. Your victory was never for the North, East or West Coasts of Nigeria but for us all as a country. Simply that Nigeria defeated Germany: hmm! May Nigeria defeat her enemies come 2023 elections.  ObiDatti023  "
558, POLITICS / Obi-Datti Support group decry alleged blocking of account by    PoliticsToday   ObiDatti023  FG  
559,I had the honour of calling on H.E. Mr KIM Young-chea of Republic of Korea. We exchanged views on comparative politics and salient points of nation building and diplomacy. -PO   PeterObi4President2023  OBIDIENT  peterobi  confirmed  chefchi  ifeanyi  Davido  ObiDatti023  
560,"    God forgive me, I don dey already feel like say na under President Peter Obi Administration we dey...  The possibilities The new world. Imagine how the world go welcome us back. The celebrations. The worldview.. The shift   God abeg o  PeterObi4President2023  ObiDatti023"
561, PeterObi4President2023 let make this real  getyourpvc and let make NIGERIA work🙏🙏🙏 NEW NIGERIA is POssible ✅✅✅  PeterObiForPresident  ObiDatti023  
562,Alhamdulillahi I am plus +1 Today 🎂 🎊 and am so proud to be obidient &amp; Yusful to my country Nigeria 🇳🇬        ObiDatti023  OBIdientlyYusful  
563,"  Exactly what   is saying, it's unacceptable.  ObiDatti023"
564,And you are still rooting for APC and PDP 😡😡. Nigerians you deserve better. Put tribe ethnicity and religion aside and VOTE OUT your common enemies APC and PDP. Give PETER OBI A CHANCE and see what GOOD GOVERNANCE IS.   chefchi  ObiDatti023  TakeBackNaija  
565,"There is the throne that everybody wanted, finally they saw the light and it was visible for all to see but not stable because it needed to move round to reach everyone. There4 Peter has to answer the questions. Questions not too deep but frustrating 😓😓  ObiDatti023  makmywords"
566,"  E no kill anything BABA no well and that's on it PERIODT. he needs to rest, ASO ROCK is not old and sick people's home.  ObiDatti023 or noting"
567,Obident broda shaggi say make I tell you something  ObiDatti023  OBIdientlyYusful  ObiDatti2023  Obidients  Obidatti  LabourParty  
568,  is the President of the People  PeterObi4President2023  ObiDatti023  
569,"  Sir,  this bar wey you raise like this for Nigerian politics eh! No be here something ooo.  Ana ekwu nke imere eme, ina eme ozo!  Ride on Mr. President..   ObiDatti023   ObiDatti2023   OBIDIENT  💪🇳🇬"
570,"📸▪️Obi-Datti Support group accuses FG of blocking Account |  NwokeukwuMascot  “We see this development as an act of political persecution, suppression..”  ObiDatti023   Read More:    "
